name,collection,material,pivot_x_mm,pivot_y_mm,pivot_z_mm,axis_x,axis_y,axis_z,spin,role,verts,faces,x_min_mm,x_max_mm,y_min_mm,y_max_mm,z_min_mm,z_max_mm,count
stringer_03,01 Fuselage,spruce,,,,,,,,,919,857,27.7,304.1,1.2,13.4,7.3,26.3,
stringer_04,01 Fuselage,spruce,,,,,,,,,919,857,27.7,304.1,-13.4,-1.2,7.3,26.3,
stringer_05,01 Fuselage,spruce,,,,,,,,,880,866,27.6,304.1,-24.7,-5.0,5.6,21.4,
stringer_06,01 Fuselage,spruce,,,,,,,,,880,866,27.5,304.1,-30.1,-7.1,2.4,11.5,
stringer_07,01 Fuselage,spruce,,,,,,,,,880,866,27.6,304.1,-30.1,-7.1,-12.7,-0.9,
stringer_08,01 Fuselage,spruce,,,,,,,,,880,866,27.6,304.1,-24.7,-5.0,-23.2,-4.0,
stringer_09,01 Fuselage,spruce,,,,,,,,,304,290,27.7,120.3,-21.5,-1.2,-18.2,-5.8,
stringer_10,01 Fuselage,spruce,,,,,,,,,304,290,27.7,120.3,1.2,21.5,-18.2,-5.8,
stringer_11,01 Fuselage,spruce,,,,,,,,,880,866,27.6,304.1,5.0,24.7,-23.2,-4.0,
stringer_12,01 Fuselage,spruce,,,,,,,,,880,866,27.6,304.1,7.1,30.1,-12.7,-0.9,
doublers,11 Skin,airframe,,,,,,,,,2160,2154,210.0,360.0,-24.6,24.6,-31.1,26.2,
panel_screws,11 Skin,steel,,,,,,,,,2160,1680,114.9,352.1,-21.8,32.2,-31.3,29.9,
seam_lengthwise,11 Skin,airframe,,,,,,,,,1152,1128,18.0,410.0,-32.3,32.3,-31.1,29.2,
seam_ring_01,11 Skin,airframe,,,,,,,,,1760,1760,41.9,42.1,-17.3,17.3,-23.6,15.2,
seam_ring_02,11 Skin,airframe,,,,,,,,,2080,2080,67.0,69.0,-24.9,24.9,-35.7,21.7,
seam_ring_03,11 Skin,airframe,,,,,,,,,1760,1760,97.9,98.1,-28.5,28.5,-35.6,25.5,
seam_ring_04,11 Skin,airframe,,,,,,,,,2080,2080,149.0,151.0,-31.5,31.5,-34.6,28.2,
seam_ring_05,11 Skin,airframe,,,,,,,,,1760,1760,199.9,200.1,-32.2,32.2,-32.2,29.1,
seam_ring_06,11 Skin,airframe,,,,,,,,,1760,1760,251.9,252.1,-31.3,31.3,-30.8,28.7,
seam_ring_07,11 Skin,airframe,,,,,,,,,2080,2080,297.0,299.0,-29.1,29.1,-29.4,27.4,
seam_ring_08,11 Skin,airframe,,,,,,,,,1760,1760,339.9,340.1,-26.4,26.4,-27.6,25.6,
seam_ring_09,11 Skin,airframe,,,,,,,,,2080,2080,383.0,385.0,-23.6,23.6,-25.7,23.7,
seam_ring_10,11 Skin,airframe,,,,,,,,,1760,1760,415.9,416.1,-18.6,18.6,-20.5,18.5,
wing_seams,11 Skin,airframe,,,,,,,,,1760,1688,205.7,345.4,-144.1,144.1,-1.8,5.4,
bypass_slots,07 Engine,duct,,,,,,,,,2352,2040,341.5,428.5,-26.3,26.3,2.5,7.5,
cooling_exit_l,10 Detail,duct,,,,,,,,,710,654,295.7,318.3,-24.0,-20.5,8.3,23.7,
cooling_exit_r,10 Detail,duct,,,,,,,,,710,654,295.7,318.3,20.5,24.0,8.3,23.7,
fuel_filter,08 RC Systems,alu,,,,,,,,,960,960,151.0,181.0,-26.5,-14.5,5.5,17.5,
fuel_hopper,08 RC Systems,lipo,,,,,,,,,928,928,216.0,242.0,-28.0,-21.6,-3.2,3.2,
fuel_lines,08 RC Systems,carbon,,,,,,,,,960,870,147.2,316.2,-26.6,22.3,0.3,26.8,
fuel_pump,08 RC Systems,servo,,,,,,,,,196,170,152.0,176.0,14.0,27.0,5.0,18.0,
fuel_tank,08 RC Systems,lipo,,,,,,,,,2152,2104,196.0,282.0,-27.3,27.3,-12.8,14.2,
mount_rails,07 Engine,carbon,,,,,,,,,1680,1500,305.8,404.2,-20.3,20.3,-18.7,-3.6,
mount_ring,07 Engine,alu,,,,,,,,,1600,1600,306.0,315.0,-25.0,25.0,-26.0,24.0,
naca_inlet_l,10 Detail,duct,,,,,,,,,572,548,236.0,270.0,-30.8,-22.2,-2.2,20.0,
naca_inlet_r,10 Detail,duct,,,,,,,,,572,548,236.0,270.0,22.2,30.8,-2.2,20.0,
retract_nose,08 RC Systems,steel,,,,,,,,,196,170,60.0,88.0,-7.5,7.5,-5.5,7.5,
nozzle_actuator_00,01 Fuselage,airframe,,,,,,,,,128,68,414.2,421.5,-1.0,1.0,12.5,14.5,
nozzle_actuator_01,01 Fuselage,airframe,,,,,,,,,128,68,414.2,421.5,11.5,13.6,5.2,7.3,
nozzle_actuator_02,01 Fuselage,airframe,,,,,,,,,128,68,414.2,421.5,11.5,13.6,-9.3,-7.2,
nozzle_actuator_03,01 Fuselage,airframe,,,,,,,,,128,68,414.2,421.5,-1.0,1.0,-16.5,-14.5,
nozzle_actuator_04,01 Fuselage,airframe,,,,,,,,,128,68,414.2,421.5,-13.6,-11.5,-9.3,-7.2,
nozzle_actuator_05,01 Fuselage,airframe,,,,,,,,,128,68,414.2,421.5,-13.6,-11.5,5.2,7.3,
nozzle_external_flap_00,01 Fuselage,airframe,,,,,,,,,234,232,422.7,440.0,0.2,6.6,6.7,12.7,
nozzle_external_flap_01,01 Fuselage,airframe,,,,,,,,,234,232,422.7,440.0,4.5,11.7,3.5,10.7,
nozzle_external_flap_02,01 Fuselage,airframe,,,,,,,,,234,232,422.7,440.0,7.7,13.7,-0.8,5.6,
nozzle_external_flap_03,01 Fuselage,airframe,,,,,,,,,234,232,422.7,440.0,7.7,13.7,-7.6,-1.2,
nozzle_external_flap_04,01 Fuselage,airframe,,,,,,,,,234,232,422.7,440.0,4.5,11.7,-12.7,-5.5,
nozzle_external_flap_05,01 Fuselage,airframe,,,,,,,,,234,232,422.7,440.0,0.2,6.6,-14.7,-8.7,
nozzle_external_flap_06,01 Fuselage,airframe,,,,,,,,,234,232,422.7,440.0,-6.6,-0.2,-14.7,-8.7,
nozzle_external_flap_07,01 Fuselage,airframe,,,,,,,,,234,232,422.7,440.0,-11.7,-4.5,-12.7,-5.5,
nozzle_external_flap_08,01 Fuselage,airframe,,,,,,,,,234,232,422.7,440.0,-13.7,-7.7,-7.6,-1.2,
nozzle_external_flap_09,01 Fuselage,airframe,,,,,,,,,234,232,422.7,440.0,-13.7,-7.7,-0.8,5.6,
nozzle_external_flap_10,01 Fuselage,airframe,,,,,,,,,234,232,422.7,440.0,-11.7,-4.5,3.5,10.7,
nozzle_external_flap_11,01 Fuselage,airframe,,,,,,,,,234,232,422.7,440.0,-6.6,-0.2,6.7,12.7,
nozzle_flap_00,01 Fuselage,airframe,,,,,,,,,234,232,423.0,440.3,-3.2,3.2,7.0,12.0,
nozzle_flap_01,01 Fuselage,airframe,,,,,,,,,234,232,423.0,440.3,2.2,9.1,4.9,11.5,
nozzle_flap_02,01 Fuselage,airframe,,,,,,,,,234,232,423.0,440.3,5.9,12.5,1.2,8.1,
nozzle_flap_03,01 Fuselage,airframe,,,,,,,,,234,232,423.0,440.3,8.0,13.0,-4.2,2.2,
nozzle_flap_04,01 Fuselage,airframe,,,,,,,,,234,232,423.0,440.3,5.9,12.5,-10.1,-3.2,
nozzle_flap_05,01 Fuselage,airframe,,,,,,,,,234,232,423.0,440.3,2.2,9.1,-13.5,-6.9,
nozzle_flap_06,01 Fuselage,airframe,,,,,,,,,234,232,423.0,440.3,-3.2,3.2,-14.0,-9.0,
nozzle_flap_07,01 Fuselage,airframe,,,,,,,,,234,232,423.0,440.3,-9.1,-2.2,-13.5,-6.9,
nozzle_flap_08,01 Fuselage,airframe,,,,,,,,,234,232,423.0,440.3,-12.5,-5.9,-10.1,-3.2,
nozzle_flap_09,01 Fuselage,airframe,,,,,,,,,234,232,423.0,440.3,-13.0,-8.0,-4.2,2.2,
nozzle_flap_10,01 Fuselage,airframe,,,,,,,,,234,232,423.0,440.3,-12.5,-5.9,1.2,8.1,
nozzle_flap_11,01 Fuselage,airframe,,,,,,,,,234,232,423.0,440.3,-9.1,-2.2,4.9,11.5,
nozzle_link_00,01 Fuselage,airframe,,,,,,,,,192,146,421.5,426.0,-0.4,0.4,10.8,12.7,
nozzle_link_01,01 Fuselage,airframe,,,,,,,,,192,146,421.5,426.0,5.7,7.1,9.1,10.9,
nozzle_link_02,01 Fuselage,airframe,,,,,,,,,192,146,421.5,426.0,10.1,11.9,4.7,6.1,
nozzle_link_03,01 Fuselage,airframe,,,,,,,,,192,146,421.5,426.0,11.8,13.7,-1.4,-0.6,
nozzle_link_04,01 Fuselage,airframe,,,,,,,,,192,146,421.5,426.0,10.1,11.9,-8.1,-6.7,
nozzle_link_05,01 Fuselage,airframe,,,,,,,,,192,146,421.5,426.0,5.7,7.1,-12.9,-11.1,
nozzle_link_06,01 Fuselage,airframe,,,,,,,,,192,146,421.5,426.0,-0.4,0.4,-14.7,-12.8,
nozzle_link_07,01 Fuselage,airframe,,,,,,,,,192,146,421.5,426.0,-7.1,-5.7,-12.9,-11.1,
nozzle_link_08,01 Fuselage,airframe,,,,,,,,,192,146,421.5,426.0,-11.9,-10.1,-8.1,-6.7,
nozzle_link_09,01 Fuselage,airframe,,,,,,,,,192,146,421.5,426.0,-13.7,-11.8,-1.4,-0.6,
nozzle_link_10,01 Fuselage,airframe,,,,,,,,,192,146,421.5,426.0,-11.9,-10.1,4.7,6.1,
nozzle_link_11,01 Fuselage,airframe,,,,,,,,,192,146,421.5,426.0,-7.1,-5.7,9.1,10.9,
nozzle_seal_00,01 Fuselage,airframe,,,,,,,,,234,232,423.0,440.3,1.7,4.0,7.0,11.8,
nozzle_seal_01,01 Fuselage,airframe,,,,,,,,,234,232,423.0,440.3,5.6,9.7,4.6,8.7,
nozzle_seal_02,01 Fuselage,airframe,,,,,,,,,234,232,423.0,440.3,8.0,12.8,0.7,3.0,
nozzle_seal_03,01 Fuselage,airframe,,,,,,,,,234,232,423.0,440.3,8.0,12.8,-5.0,-2.7,
nozzle_seal_04,01 Fuselage,airframe,,,,,,,,,234,232,423.0,440.3,5.6,9.7,-10.7,-6.6,
nozzle_seal_05,01 Fuselage,airframe,,,,,,,,,234,232,423.0,440.3,1.7,4.0,-13.8,-9.0,
nozzle_seal_06,01 Fuselage,airframe,,,,,,,,,234,232,423.0,440.3,-4.0,-1.7,-13.8,-9.0,
nozzle_seal_07,01 Fuselage,airframe,,,,,,,,,234,232,423.0,440.3,-9.7,-5.6,-10.7,-6.6,
nozzle_seal_08,01 Fuselage,airframe,,,,,,,,,234,232,423.0,440.3,-12.8,-8.0,-5.0,-2.7,
nozzle_seal_09,01 Fuselage,airframe,,,,,,,,,234,232,423.0,440.3,-12.8,-8.0,0.7,3.0,
nozzle_seal_10,01 Fuselage,airframe,,,,,,,,,234,232,423.0,440.3,-9.7,-5.6,4.6,8.7,
nozzle_seal_11,01 Fuselage,airframe,,,,,,,,,234,232,423.0,440.3,-4.0,-1.7,7.0,11.8,
nozzle_unison_ring,01 Fuselage,airframe,,,,,,,,,7168,7168,420.9,422.1,-14.3,14.3,-15.3,13.3,
