name,collection,material,pivot_x_mm,pivot_y_mm,pivot_z_mm,axis_x,axis_y,axis_z,spin,role,verts,faces,x_min_mm,x_max_mm,y_min_mm,y_max_mm,z_min_mm,z_max_mm,count
gear_bay_hydraulic_lines_main_l,06 Landing Gear,steel,,,,,,,,,200,164,238.1,261.1,-58.7,-48.3,-9.5,-3.1,
gear_bay_hydraulic_lines_main_r,06 Landing Gear,steel,,,,,,,,,200,164,238.1,261.1,48.3,58.7,-9.5,-3.1,
gear_bay_hydraulic_lines_nose,06 Landing Gear,steel,,,,,,,,,200,164,27.1,42.1,-0.7,3.7,-4.5,0.9,
gear_bay_lining_main_l,06 Landing Gear,steel,,,,,,,,,256,200,242.7,261.3,-66.7,-31.3,-10.0,-2.3,
gear_bay_lining_main_r,06 Landing Gear,steel,,,,,,,,,256,200,242.7,261.3,31.3,66.7,-10.0,-2.3,
gear_bay_lining_nose,06 Landing Gear,steel,,,,,,,,,256,200,29.7,42.3,-5.7,5.7,-5.0,1.7,
gear_bay_main_l,06 Landing Gear,steel,,,,,,,,,400,330,237.0,267.0,-67.0,-31.0,-10.0,-1.7,
gear_bay_main_r,06 Landing Gear,steel,,,,,,,,,400,330,237.0,267.0,31.0,67.0,-10.0,-1.7,
gear_bay_nose,06 Landing Gear,steel,,,,,,,,,400,330,26.0,46.0,-6.0,6.0,-5.0,2.3,
gear_door_actuator_main_l,06 Landing Gear,steel,,,,,,,,,112,60,251.6,252.4,-67.2,-57.7,-19.1,-2.4,
gear_door_actuator_main_r,06 Landing Gear,steel,,,,,,,,,112,60,251.6,252.4,57.7,67.2,-19.1,-2.4,
gear_door_actuator_nose_l,06 Landing Gear,steel,,,,,,,,,112,60,35.6,36.4,-6.2,-2.6,-8.1,1.5,
gear_door_actuator_nose_r,06 Landing Gear,steel,,,,,,,,,112,60,35.6,36.4,2.6,6.2,-8.1,1.5,
gear_door_hinge_main_l,06 Landing Gear,airframe,,,,,,,,,48,26,237.0,267.0,-67.6,-66.4,-10.6,-9.4,
gear_door_hinge_main_r,06 Landing Gear,airframe,,,,,,,,,48,26,237.0,267.0,66.4,67.6,-10.6,-9.4,
gear_door_hinge_nose_l,06 Landing Gear,airframe,,,,,,,,,48,26,26.0,46.0,-6.6,-5.4,-5.6,-4.4,
gear_door_hinge_nose_r,06 Landing Gear,airframe,,,,,,,,,48,26,26.0,46.0,5.4,6.6,-5.6,-4.4,
gear_door_latches_main_l,06 Landing Gear,airframe,,,,,,,,,320,256,240.9,263.1,-66.7,-65.7,-28.0,-26.8,
gear_door_latches_main_r,06 Landing Gear,airframe,,,,,,,,,320,256,240.9,263.1,65.7,66.7,-28.0,-26.8,
gear_door_latches_nose_l,06 Landing Gear,airframe,,,,,,,,,320,256,28.4,43.6,-5.7,-4.7,-11.0,-9.8,
gear_door_latches_nose_r,06 Landing Gear,airframe,,,,,,,,,320,256,28.4,43.6,4.7,5.7,-11.0,-9.8,
gear_door_main_l,06 Landing Gear,airframe,,,,,,,,,80,66,237.0,267.0,-67.3,-66.7,-28.0,-10.0,
gear_door_main_r,06 Landing Gear,airframe,,,,,,,,,80,66,237.0,267.0,66.7,67.3,-28.0,-10.0,
gear_door_nose_l,06 Landing Gear,airframe,,,,,,,,,80,66,26.0,46.0,-6.3,-5.7,-11.0,-5.0,
gear_door_nose_r,06 Landing Gear,airframe,,,,,,,,,80,66,26.0,46.0,5.7,6.3,-11.0,-5.0,
gear_door_strut_main_l,06 Landing Gear,airframe,,,,,,,,,80,66,248.7,255.3,-42.1,-41.5,-28.0,-10.0,
gear_door_strut_main_r,06 Landing Gear,airframe,,,,,,,,,80,66,248.7,255.3,41.5,42.1,-28.0,-10.0,
gear_main_chrome_slider_l,06 Landing Gear,steel,,,,,,,,,240,240,250.4,253.6,-45.6,-42.4,-49.2,-26.3,
gear_main_chrome_slider_r,06 Landing Gear,steel,,,,,,,,,240,240,250.4,253.6,42.4,45.6,-49.2,-26.3,
gear_main_downlock_l,06 Landing Gear,steel,,,,,,,,,112,60,251.3,254.6,-65.2,-50.4,-17.1,-5.5,
gear_main_downlock_r,06 Landing Gear,steel,,,,,,,,,112,60,251.3,254.6,50.4,65.2,-17.1,-5.5,
gear_main_drag_stay_l,06 Landing Gear,steel,,,,,,,,,84,58,238.4,252.9,-45.0,-43.0,-29.8,-5.4,
gear_main_drag_stay_r,06 Landing Gear,steel,,,,,,,,,84,58,238.4,252.9,43.0,45.0,-29.8,-5.4,
gear_main_l,06 Landing Gear,steel,,,,,,,,,1232,1180,245.5,255.7,-47.5,-40.5,-48.6,-4.3,
gear_main_r,06 Landing Gear,steel,,,,,,,,,1232,1180,245.5,255.7,40.5,47.5,-48.6,-4.3,
gear_main_retract_actuator_l,06 Landing Gear,steel,,,,,,,,,176,96,251.6,259.4,-53.6,-43.6,-29.6,-3.0,
gear_main_retract_actuator_r,06 Landing Gear,steel,,,,,,,,,176,96,251.6,259.4,43.6,53.6,-29.6,-3.0,
gear_main_side_stay_l,06 Landing Gear,steel,,,,,,,,,84,58,251.0,255.2,-65.4,-43.1,-29.9,-5.2,
gear_main_side_stay_r,06 Landing Gear,steel,,,,,,,,,84,58,251.0,255.2,43.1,65.4,-29.9,-5.2,
gear_main_trailing_link_l,06 Landing Gear,steel,,,,,,,,,108,74,251.2,260.0,-49.2,-42.6,-55.1,-48.0,
gear_main_trailing_link_r,06 Landing Gear,steel,,,,,,,,,108,74,251.2,260.0,42.6,49.2,-55.1,-48.0,
gear_nose_chrome_slider,06 Landing Gear,steel,,,,,,,,,240,240,38.4,41.6,-1.6,1.6,-46.1,-23.2,
gear_nose_drag_stay,06 Landing Gear,steel,,,,,,,,,72,50,27.4,40.7,-0.9,0.9,-24.9,-2.6,
gear_nose_fork,06 Landing Gear,steel,,,,,,,,,168,116,38.9,41.1,-4.6,4.6,-56.7,-45.2,
gear_nose_shimmy_damper,06 Landing Gear,steel,,,,,,,,,112,60,37.4,44.6,-4.8,3.5,-25.0,-23.9,
gear_nose_steering_actuator,06 Landing Gear,steel,,,,,,,,,112,60,35.1,44.7,-4.9,4.7,-19.9,-18.3,
gear_nose_strut,06 Landing Gear,steel,,,,,,,,,1232,1180,33.5,43.7,-3.5,3.5,-45.5,-1.3,
wheel_hub_main_l,06 Landing Gear,alu,,,,,,,,,336,336,252.6,264.6,-51.9,-46.5,-59.7,-47.6,
wheel_hub_main_r,06 Landing Gear,alu,,,,,,,,,336,336,252.6,264.6,46.5,51.9,-59.7,-47.6,
wheel_hub_nose,06 Landing Gear,alu,,,,,,,,,336,336,35.6,44.4,-2.2,2.2,-61.1,-52.3,
wheel_main_l,06 Landing Gear,rubber,,,,,,,,,3696,3696,247.2,270.0,-52.3,-46.1,-65.0,-42.3,
wheel_main_r,06 Landing Gear,rubber,,,,,,,,,3696,3696,247.2,270.0,46.1,52.3,-65.0,-42.3,
wheel_nose,06 Landing Gear,rubber,,,,,,,,,3696,3696,31.7,48.3,-2.6,2.6,-65.0,-48.3,
fcs_fcc_envelope,01 Fuselage,airframe,,,,,,,,,8,6,105.0,131.0,-11.0,11.0,-9.0,1.0,
fcs_loom_tail_l,01 Fuselage,airframe,,,,,,,,,9640,9602,310.0,398.3,-10.5,-4.8,-24.2,-18.6,
fcs_loom_tail_r,01 Fuselage,airframe,,,,,,,,,9640,9602,310.0,398.3,4.8,10.5,-24.2,-18.6,
fcs_loom_trunk_lower_l,01 Fuselage,airframe,,,,,,,,,25664,25602,129.8,300.1,-28.4,-6.2,-7.9,1.4,
fcs_loom_trunk_lower_r,01 Fuselage,airframe,,,,,,,,,25664,25602,129.8,300.1,6.2,28.4,-7.9,1.4,
fcs_loom_trunk_upper_l,01 Fuselage,airframe,,,,,,,,,25664,25602,129.8,300.1,-25.4,-6.0,-2.7,15.4,
fcs_loom_trunk_upper_r,01 Fuselage,airframe,,,,,,,,,25664,25602,129.8,300.1,6.0,25.4,-2.7,15.4,
engine_access_panels,07 Engine,engine,,,,,,,,,396,378,319.5,383.6,-7.8,10.7,-19.4,17.4,
engine_antiice_duct,07 Engine,engine,,,,,,,,,860,846,301.7,348.5,-17.5,17.2,-18.2,16.2,
engine_augmentor_liner,07 Engine,engine,,,,,,,,,19132,13592,395.8,423.0,-12.4,12.4,-13.4,11.4,
engine_bay_cooling_exit,07 Engine,engine,,,,,,,,,768,768,432.3,438.3,-17.8,17.8,-17.8,17.8,
engine_bay_cooling_inlet,07 Engine,engine,,,,,,,,,92,64,283.5,310.3,-20.1,-12.0,13.5,20.4,
engine_bay_doors,07 Engine,engine,,,,,,,,,560,416,308.0,406.3,-28.4,28.4,-29.0,-4.6,
engine_bearing_sumps,07 Engine,engine,,,,,,,,,1300,1260,309.3,387.4,-7.0,7.0,-9.8,6.0,
engine_blades_fan_r1,07 Engine,engine,315.8,0.0,-1.0,1.0,0.0,0.0,1.0,spool_lp,18432,16544,312.8,318.8,-17.9,17.9,-18.9,16.9,
engine_blades_fan_r2,07 Engine,engine,323.9,0.0,-1.0,1.0,0.0,0.0,1.0,spool_lp,25344,22748,321.8,326.0,-17.7,17.7,-18.7,16.7,
engine_blades_fan_r3,07 Engine,engine,329.8,0.0,-1.0,1.0,0.0,0.0,1.0,spool_lp,29952,26884,328.2,331.5,-17.4,17.4,-18.4,16.4,
engine_blades_hpc_r1,07 Engine,engine,337.6,0.0,-1.0,1.0,0.0,0.0,-1.6,spool_hp,21888,19646,336.4,338.8,-13.8,13.8,-14.9,12.9,
engine_blades_hpc_r2,07 Engine,engine,341.3,0.0,-1.0,1.0,0.0,0.0,-1.6,spool_hp,25344,22748,340.2,342.3,-13.5,13.5,-14.5,12.5,
engine_blades_hpc_r3,07 Engine,engine,344.6,0.0,-1.0,1.0,0.0,0.0,-1.6,spool_hp,28800,25850,343.6,345.5,-13.1,13.1,-14.1,12.1,
engine_blades_hpc_r4,07 Engine,engine,347.6,0.0,-1.0,1.0,0.0,0.0,-1.6,spool_hp,32256,28952,346.7,348.4,-12.7,12.7,-13.7,11.7,
engine_blades_hpc_r5,07 Engine,engine,350.2,0.0,-1.0,1.0,0.0,0.0,-1.6,spool_hp,35712,32054,349.5,350.9,-12.4,12.4,-13.4,11.4,
engine_blades_hpc_r6,07 Engine,engine,352.6,0.0,-1.0,1.0,0.0,0.0,-1.6,spool_hp,39168,35156,352.0,353.2,-12.0,12.0,-13.0,11.0,
engine_blades_hpc_r7,07 Engine,engine,354.7,0.0,-1.0,1.0,0.0,0.0,-1.6,spool_hp,42624,38258,354.2,355.3,-11.7,11.7,-12.7,10.7,
engine_blades_hpc_r8,07 Engine,engine,356.6,0.0,-1.0,1.0,0.0,0.0,-1.6,spool_hp,46080,41360,356.1,357.1,-11.4,11.4,-12.4,10.4,
engine_blades_hpc_r9,07 Engine,engine,358.3,0.0,-1.0,1.0,0.0,0.0,-1.6,spool_hp,49536,44462,357.8,358.7,-11.1,11.1,-12.1,10.1,
engine_blades_hpt_ngv,07 Engine,engine,,,,,,,,,12972,8970,372.1,374.8,-12.8,12.8,-13.8,11.8,46
engine_blades_hpt_r1,07 Engine,engine,375.7,0.0,-1.0,1.0,0.0,0.0,-1.6,spool_hp,31176,18792,373.7,376.6,-12.5,12.5,-13.5,11.5,72
engine_blades_lpt_r1,07 Engine,engine,380.0,0.0,-1.0,1.0,0.0,0.0,1.0,spool_lp,44704,41184,379.2,380.7,-13.2,13.2,-14.2,12.2,
engine_blades_lpt_r2,07 Engine,engine,383.1,0.0,-1.0,1.0,0.0,0.0,1.0,spool_lp,48768,44928,382.4,383.8,-13.9,13.9,-14.9,12.9,
engine_blades_lpt_s1,07 Engine,engine,,,,,,,,,80848,49600,377.4,379.1,-13.4,13.4,-14.4,12.4,62
engine_blades_lpt_s2,07 Engine,engine,,,,,,,,,39760,36400,380.8,382.3,-14.1,14.1,-15.1,13.1,
engine_bleed_offtake,07 Engine,engine,,,,,,,,,120,92,307.9,353.6,7.4,18.5,5.0,17.2,
engine_bleed_pipes,07 Engine,engine,,,,,,,,,894,798,337.5,360.2,-15.4,15.7,-14.5,12.5,
engine_borescope_bosses,07 Engine,engine,,,,,,,,,672,672,339.3,385.6,11.6,13.6,-13.2,11.4,
engine_borescope_ports,07 Engine,engine,,,,,,,,,672,672,339.2,385.6,11.5,13.7,-13.3,11.5,
engine_brg_1_lp_thrust,07 Engine,engine,,,,,,,,,4788,5112,310.2,311.6,-4.5,4.5,-5.5,3.5,
engine_brg_2_lp_roller,07 Engine,engine,,,,,,,,,2258,2606,333.1,334.2,-4.5,4.5,-5.5,3.5,
engine_brg_3_hp_thrust,07 Engine,engine,,,,,,,,,4788,5112,334.6,336.0,-6.5,6.5,-7.5,5.5,
engine_brg_4_hp_roller,07 Engine,engine,,,,,,,,,2258,2606,376.6,377.8,-6.4,6.4,-7.4,5.4,
engine_brg_5_lp_roller,07 Engine,engine,,,,,,,,,1968,2256,385.2,386.3,-4.6,4.6,-5.6,3.6,
engine_bypass_inner_wall,07 Engine,engine,,,,,,,,,1400,1400,330.3,389.1,-14.9,14.9,-15.9,13.9,
engine_bypass_struts,07 Engine,engine,,,,,,,,,1000,820,331.8,337.2,-17.3,17.3,-17.6,15.6,
engine_casing_augmentor,07 Engine,engine,,,,,,,,,2800,2800,389.1,423.0,-14.9,14.9,-15.9,13.9,
engine_casing_bypass,07 Engine,engine,,,,,,,,,4760,4760,330.3,389.1,-18.1,18.1,-19.1,17.1,
engine_casing_combustor,07 Engine,engine,,,,,,,,,2800,2800,361.2,373.0,-15.4,15.4,-16.4,14.4,
engine_casing_fan,07 Engine,engine,,,,,,,,,4060,4060,312.7,330.3,-18.7,18.7,-19.7,17.7,
engine_casing_hpc,07 Engine,engine,,,,,,,,,7560,7560,335.8,361.2,-14.9,14.9,-15.9,13.9,
engine_casing_inlet,07 Engine,engine,,,,,,,,,2800,2800,300.0,312.7,-18.6,18.6,-19.6,17.6,
engine_casing_turbine,07 Engine,engine,,,,,,,,,3640,3640,373.0,389.1,-14.9,14.9,-15.9,13.9,
engine_combustor_dome,07 Engine,engine,,,,,,,,,2660,2660,359.9,362.6,-12.7,12.7,-13.7,11.7,
engine_combustor_liner_inner,07 Engine,engine,,,,,,,,,8051,7292,361.8,372.7,-9.6,9.6,-10.6,8.6,
engine_combustor_liner_outer,07 Engine,engine,,,,,,,,,7633,5996,361.8,372.7,-13.2,13.2,-14.2,12.2,
engine_combustor_swirlers,07 Engine,engine,,,,,,,,,3200,2800,361.3,362.3,-12.1,12.1,-13.1,11.1,
engine_diffuser,07 Engine,engine,,,,,,,,,1312,1264,359.4,362.4,-13.0,13.0,-14.0,12.0,
engine_fan_containment,07 Engine,engine,,,,,,,,,864,864,313.3,318.5,-19.1,19.1,-20.1,18.1,
engine_fan_cowl_door,07 Engine,engine,,,,,,,,,585,574,321.4,335.8,-14.1,-1.8,10.2,17.3,
engine_fan_disc_assembly,07 Engine,engine,320.2,0.0,-1.0,1.0,0.0,0.0,1.0,spool_lp,23584,21152,309.1,331.3,-10.3,10.3,-11.3,9.3,
engine_fan_door_hardware,07 Engine,engine,,,,,,,,,1176,1218,322.3,333.3,-13.8,4.4,10.8,17.4,
engine_fan_frame_hub,07 Engine,engine,,,,,,,,,1152,1152,331.2,336.7,-5.2,5.2,-6.2,4.2,
engine_fan_frame_struts,07 Engine,engine,,,,,,,,,800,656,332.1,336.7,-14.5,14.5,-15.5,13.5,
engine_fan_interstage_seals,07 Engine,engine,,,,,,,,,5600,5600,319.1,328.1,-9.3,9.3,-10.3,8.3,
engine_fire_bottle,07 Engine,engine,,,,,,,,,148,90,307.0,360.2,6.8,20.5,1.5,12.4,
engine_fire_loop,07 Engine,engine,,,,,,,,,5408,5288,331.4,386.6,-23.6,23.6,-23.2,23.2,
engine_flange_aug_aft,07 Engine,engine,,,,,,,,,3184,3744,422.7,423.7,-14.1,14.1,-15.1,13.1,
engine_flange_comb_aft,07 Engine,engine,,,,,,,,,3584,4224,372.6,373.9,-15.5,15.5,-16.5,14.5,
engine_flange_fan_rear,07 Engine,engine,,,,,,,,,3984,4704,330.0,331.0,-18.5,18.5,-19.5,17.5,
engine_flange_hpc_aft,07 Engine,engine,,,,,,,,,3384,3984,358.8,360.0,-15.3,15.3,-16.3,14.3,
engine_flange_hpc_fwd,07 Engine,engine,,,,,,,,,3384,3984,335.5,336.4,-15.1,15.1,-16.1,14.1,
engine_flange_inlet,07 Engine,engine,,,,,,,,,3984,4704,312.4,313.4,-19.0,19.0,-20.0,18.0,
engine_flange_turb_aft,07 Engine,engine,,,,,,,,,3584,4224,388.7,389.9,-15.0,15.0,-16.0,14.0,
engine_fuel_connections,07 Engine,engine,,,,,,,,,224,142,301.9,322.5,-17.7,-14.1,-6.5,4.5,
engine_fuel_lines,07 Engine,engine,,,,,,,,,456,416,329.7,360.7,10.3,16.1,-14.4,-8.4,
engine_fuel_manifold,07 Engine,engine,,,,,,,,,1960,1960,360.1,360.9,-15.5,15.5,-16.5,14.5,
engine_fuel_nozzles,07 Engine,engine,,,,,,,,,4320,4400,359.7,362.4,-16.2,16.2,-17.2,15.2,
engine_gearbox,07 Engine,engine,,,,,,,,,1518,1626,321.5,336.4,-8.8,4.2,-24.2,-17.8,
engine_gearbox_mounts,07 Engine,engine,,,,,,,,,96,64,322.8,334.2,-3.3,3.3,-19.5,-18.3,
engine_generator_1,07 Engine,engine,,,,,,,,,120,74,322.6,326.5,4.2,9.2,-22.7,-19.3,
engine_generator_2,07 Engine,engine,,,,,,,,,120,74,330.0,333.9,4.2,9.2,-22.7,-19.3,
engine_harnesses,07 Engine,engine,,,,,,,,,760,690,314.3,419.6,-16.9,7.1,11.0,18.7,
engine_hpc_drum,07 Engine,engine,347.0,0.0,-1.0,1.0,0.0,0.0,-1.6,spool_hp,5600,5600,334.8,359.3,-10.9,10.9,-11.9,9.9,
engine_hpc_front_cone,07 Engine,engine,337.1,0.0,-1.0,1.0,0.0,0.0,-1.6,spool_hp,1680,1680,334.8,339.3,-9.7,9.7,-10.7,8.7,
engine_hpc_interstage_seals,07 Engine,engine,,,,,,,,,17920,17920,339.2,357.7,-10.9,10.9,-11.9,9.9,
engine_hpc_rear_cone,07 Engine,engine,357.0,0.0,-1.0,1.0,0.0,0.0,-1.6,spool_hp,1680,1680,354.7,359.3,-10.4,10.4,-11.4,9.4,
engine_hpt_disc,07 Engine,engine,373.8,0.0,-1.0,1.0,0.0,0.0,-1.6,spool_hp,1328,1328,370.9,376.8,-9.2,9.2,-10.2,8.2,
engine_hydraulic_pump_1,07 Engine,engine,,,,,,,,,120,74,323.6,326.4,-3.2,-0.8,-26.2,-22.6,
engine_hydraulic_pump_2,07 Engine,engine,,,,,,,,,120,74,330.6,333.4,-3.2,-0.8,-26.2,-22.6,
engine_igniters,07 Engine,engine,,,,,,,,,188,192,363.0,364.8,-13.5,13.5,-12.5,10.5,
engine_inlet_case,07 Engine,engine,,,,,,,,,1400,1400,300.0,312.7,-18.0,18.0,-19.0,17.0,
engine_inlet_lip,07 Engine,engine,,,,,,,,,2380,2380,300.0,301.6,-18.6,18.6,-19.6,17.6,
engine_inlet_probes,07 Engine,engine,,,,,,,,,324,294,302.9,304.4,-18.0,6.9,-18.3,16.3,
engine_lpt_disc_assembly,07 Engine,engine,383.6,0.0,-1.0,1.0,0.0,0.0,1.0,spool_lp,2656,2656,379.1,388.2,-8.9,8.9,-9.9,7.9,
engine_mixer,07 Engine,engine,,,,,,,,,5040,5040,389.1,396.4,-13.3,13.3,-14.3,12.3,
engine_mount_links_fwd,07 Engine,engine,,,,,,,,,784,740,309.8,337.2,-23.7,23.7,2.6,15.9,
engine_mount_links_rear,07 Engine,engine,,,,,,,,,528,500,387.2,393.0,10.0,18.9,-12.1,10.1,
engine_mount_pads,07 Engine,engine,,,,,,,,,480,480,332.8,390.2,-12.7,12.7,10.3,16.5,
engine_mount_trunnions,07 Engine,engine,,,,,,,,,328,400,332.5,390.5,-12.8,12.8,8.3,16.5,
engine_oil_connections,07 Engine,engine,,,,,,,,,224,142,301.9,322.5,14.1,17.7,-6.5,4.5,
engine_oil_lines,07 Engine,engine,,,,,,,,,860,782,326.1,389.1,-2.4,19.6,-24.3,9.2,
engine_oil_pressure_pump,07 Engine,engine,,,,,,,,,120,74,325.6,328.1,1.0,3.1,-25.5,-22.6,
engine_oil_scavenge_pump,07 Engine,engine,,,,,,,,,120,74,329.6,332.4,0.8,3.2,-25.8,-22.6,
engine_panel_bolts,07 Engine,engine,,,,,,,,,2106,2430,319.9,383.2,-7.4,10.6,-19.6,17.6,
engine_shaft_hp,07 Engine,engine,355.9,0.0,-1.0,1.0,0.0,0.0,-1.6,spool_hp,1728,1728,334.8,377.0,-5.2,5.2,-6.2,4.2,
engine_shaft_lp,07 Engine,engine,348.4,0.0,-1.0,1.0,0.0,0.0,1.0,spool_lp,2016,2016,308.5,388.4,-3.4,3.4,-4.4,2.4,
engine_spinner,07 Engine,engine,307.3,0.0,-1.0,1.0,0.0,0.0,1.0,spool_lp,9520,9520,300.6,313.9,-7.0,7.0,-8.0,6.0,
engine_splitter,07 Engine,engine,,,,,,,,,2100,2100,329.3,332.1,-14.9,14.9,-15.9,13.9,
engine_t5_harness,07 Engine,engine,,,,,,,,,1376,1312,386.1,387.7,-15.5,15.5,-16.5,14.5,
engine_towershaft,07 Engine,engine,,,,,,,,,212,238,334.8,338.5,-3.6,0.8,-20.8,-4.3,
engine_turbine_blade_outer_air_seals,07 Engine,engine,,,,,,,,,5880,5880,374.7,383.9,-14.2,14.2,-15.2,13.2,
engine_turbine_cooling_manifold,07 Engine,engine,,,,,,,,,3060,2762,358.2,384.3,-16.7,17.8,-17.7,15.7,
engine_turbine_frame_hub,07 Engine,engine,,,,,,,,,1152,1152,387.0,391.2,-5.8,5.8,-6.8,4.8,
engine_turbine_frame_struts,07 Engine,engine,,,,,,,,,800,656,387.0,392.2,-14.1,14.1,-15.1,13.1,
engine_turbine_inner_flowpath,07 Engine,engine,,,,,,,,,1400,1400,372.4,385.8,-9.5,9.5,-10.5,8.5,
engine_turbine_interstage_seals,07 Engine,engine,,,,,,,,,2240,2240,376.8,377.2,-9.1,9.1,-10.1,8.1,
engine_vanes_fan_ogv,07 Engine,engine,,,,,,,,,45440,41600,331.3,333.4,-17.4,17.4,-18.4,16.4,
engine_vanes_fan_s1,07 Engine,engine,,,,,,,,,34080,31200,319.0,321.8,-17.9,17.9,-18.9,16.9,
engine_vanes_fan_s2,07 Engine,engine,,,,,,,,,40896,37440,326.0,328.2,-17.7,17.7,-18.7,16.7,
engine_vanes_hpc_s1,07 Engine,engine,,,,,,,,,29536,27040,338.6,340.3,-13.8,13.8,-14.8,12.8,
engine_vanes_hpc_s2,07 Engine,engine,,,,,,,,,32944,30160,342.2,343.7,-13.4,13.4,-14.4,12.4,
engine_vanes_hpc_s3,07 Engine,engine,,,,,,,,,36352,33280,345.4,346.8,-13.1,13.1,-14.1,12.1,
engine_vanes_hpc_s4,07 Engine,engine,,,,,,,,,39760,36400,348.3,349.5,-12.7,12.7,-13.7,11.7,
engine_vanes_hpc_s5,07 Engine,engine,,,,,,,,,43168,39520,350.9,352.0,-12.4,12.4,-13.4,11.4,
engine_vanes_hpc_s6,07 Engine,engine,,,,,,,,,46576,42640,353.2,354.2,-12.0,12.0,-13.0,11.0,
engine_vanes_hpc_s7,07 Engine,engine,,,,,,,,,49984,45760,355.3,356.1,-11.7,11.7,-12.7,10.7,
engine_vanes_hpc_s8,07 Engine,engine,,,,,,,,,53392,48880,357.1,357.8,-11.4,11.4,-12.4,10.4,
engine_vanes_hpc_s9,07 Engine,engine,,,,,,,,,56800,52000,358.7,359.4,-11.1,11.1,-12.1,10.1,
engine_vanes_igv,07 Engine,engine,,,,,,,,,15904,14560,309.7,312.4,-18.1,18.1,-19.1,17.1,
engine_variable_vane_actuation,07 Engine,engine,,,,,,,,,23596,25692,310.5,346.3,-19.7,19.7,-20.7,18.7,
engine_vbv_doors,07 Engine,engine,,,,,,,,,1248,1152,332.3,336.0,-18.8,18.8,-19.8,17.8,
antennas,10 Detail,plastic,,,,,,,,,290,294,249.0,275.0,-2.5,2.5,27.4,36.8,
bl_diverter,10 Detail,airframe,,,,,,,,,296,343,30.1,112.8,-18.6,18.6,-14.4,-10.7,
gear_door_l,06 Landing Gear,airframe,,,,,,,,,908,864,221.0,284.1,-31.5,-23.3,-46.4,-10.9,
gear_door_n,06 Landing Gear,airframe,,,,,,,,,908,864,64.0,104.7,20.7,25.2,-46.7,-15.2,
gear_door_r,06 Landing Gear,airframe,,,,,,,,,908,864,221.0,284.1,23.3,31.5,-46.4,-10.9,
intake_lip_ring,10 Detail,duct,,,,,,,,,432,252,48.8,57.2,-21.5,21.5,-34.8,-12.7,
navlight_port,10 Detail,lens_red,,,,,,,,,196,170,310.9,319.9,-150.0,-146.0,-7.5,-4.5,
navlight_stbd,10 Detail,lens_green,,,,,,,,,196,170,310.9,319.9,146.0,150.0,-7.5,-4.5,
navlight_tail,10 Detail,lens_white,,,,,,,,,196,170,423.0,433.0,-3.0,3.0,92.0,100.0,
nose_strakes,10 Detail,airframe,,,,,,,,,684,652,95.9,192.2,-39.1,39.1,6.4,11.4,
panel_avionics,01 Fuselage,airframe,,,,,,,,,72,70,115.0,312.0,-21.2,21.2,23.0,29.1,
panel_battery,01 Fuselage,airframe,,,,,,,,,72,70,188.0,268.0,-21.2,21.2,24.6,29.2,
panel_fuel,01 Fuselage,airframe,,,,,,,,,72,70,312.0,352.0,-18.3,18.3,-28.8,-23.1,
panel_gearbay,01 Fuselage,airframe,,,,,,,,,72,70,258.0,300.0,-20.9,20.9,-30.7,-25.1,
pitot,10 Detail,steel,,,,,,,,,952,952,-28.0,8.6,-2.6,2.6,-5.0,4.4,
tailpipe_shroud,01 Fuselage,hot_metal,,,,,,,,,840,696,424.0,438.0,-16.4,16.4,-16.4,16.4,
vg_l1,01 Fuselage,airframe,,,,,,,,,218,252,293.0,302.9,-52.6,-49.4,-0.9,2.9,
vg_l10,01 Fuselage,airframe,,,,,,,,,218,252,325.2,331.1,-120.8,-118.6,-4.3,-2.1,
vg_l11,01 Fuselage,airframe,,,,,,,,,218,252,328.8,334.3,-128.4,-126.3,-4.4,-2.4,
vg_l12,01 Fuselage,airframe,,,,,,,,,218,252,332.6,337.6,-136.0,-134.0,-4.7,-2.9,
vg_l2,01 Fuselage,airframe,,,,,,,,,218,252,296.4,305.9,-60.1,-57.1,-1.4,2.2,
vg_l3,01 Fuselage,airframe,,,,,,,,,218,252,299.9,308.9,-67.8,-64.8,-1.9,1.5,
vg_l4,01 Fuselage,airframe,,,,,,,,,218,252,303.4,312.0,-75.3,-72.5,-2.1,1.1,
vg_l5,01 Fuselage,airframe,,,,,,,,,218,252,307.0,315.2,-82.9,-80.2,-2.6,0.5,
vg_l6,01 Fuselage,airframe,,,,,,,,,218,252,310.7,318.4,-90.5,-87.9,-3.0,-0.1,
vg_l7,01 Fuselage,airframe,,,,,,,,,218,252,314.3,321.6,-98.1,-95.6,-3.4,-0.7,
vg_l8,01 Fuselage,airframe,,,,,,,,,218,252,318.0,324.8,-105.6,-103.2,-3.6,-1.1,
vg_l9,01 Fuselage,airframe,,,,,,,,,218,252,321.6,327.9,-113.2,-111.0,-4.0,-1.6,
vg_r1,01 Fuselage,airframe,,,,,,,,,218,252,293.0,302.9,49.4,52.6,-0.9,2.9,
vg_r10,01 Fuselage,airframe,,,,,,,,,218,252,325.2,331.1,118.7,120.8,-4.3,-2.1,
